25 64 69 71 80 81 82 89 90 92 92 92 90 92 92 92 0 0 0 0 0 98
61 61 72 78 80 81 82 89 90 92 92 92 90 92 92 92 0 0 0 0 0 97
24 60 61 78 78 81 82 89 90 92 92 92 90 92 92 92 0 0 0 0 0 96
65 65 74 78 78 81 82 89 90 92 92 92 90 92 92 92 0 0 0 0 0 95
21 58 59 71 82 82 82 89 90 92 92 92 90 92 92 92 0 0 0 0 0 94
22 59 64 67 76 82 82 89 90 92 92 92 90 92 92 92 0 0 0 0 0 93
21 63 73 75 75 82 82 89 90 92 92 92 90 92 92 92 0 0 0 0 0 92
24 52 64 75 75 82 82 89 90 92 92 92 90 92 92 92 0 0 0 0 0 91
25 53 52 53 75 82 82 89 90 92 92 92 90 92 92 92 0 0 0 0 0 90
51 53 53 81 75 82 82 89 90 92 92 92 90 92 92 92 0 0 0 0 0 89
55 51 72 73 78 79 80 89 90 92 92 92 90 92 92 92 0 0 0 0 0 88
51 50 68 77 79 79 83 89 90 92 92 92 90 92 92 92 0 0 0 0 0 87
21 60 53 68 71 79 79 79 90 92 92 92 90 92 92 92 0 0 0 0 0 86
24 62 62 71 73 77 87 79 90 92 92 92 90 92 92 92 0 0 0 0 1 85
64 68 71 73 75 76 81 81 81 84 87 92 90 92 92 92 0 0 0 0 1 84
25 70 70 73 74 75 75 79 81 81 87 92 90 92 92 92 0 0 0 0 1 83
62 66 74 75 76 78 80 84 89 81 87 92 90 92 92 92 0 0 0 0 1 82
24 60 68 73 75 76 76 82 83 83 87 92 90 92 92 92 0 0 0 0 1 81
26 64 70 71 72 75 79 79 80 83 87 92 90 92 92 92 0 0 0 0 1 80
22 64 68 73 75 77 78 82 80 83 87 92 90 92 92 92 0 0 0 0 1 79
50 50 64 73 75 76 76 77 85 85 87 92 90 92 92 92 0 0 0 0 1 78
25 51 69 70 77 77 78 82 85 86 87 92 90 92 92 92 0 0 0 0 1 77
25 64 61 68 71 75 76 77 78 85 87 92 90 92 92 92 0 0 0 0 1 76
