point,latitude,longitude,altitude
P103,-25.4530349082238,-49.2334303416647,0.0
P104,-25.4530268037537,-49.2334508046525,0.0
P105,-25.4530191394123,-49.2334710822268,0.0
P106,-25.4530113756065,-49.2334920970791,0.0
P107,-25.4530036037818,-49.2335124458229,0.0
P108,-25.4529957316550,-49.2335334622515,0.0
P109,-25.4529878506186,-49.2335544887511,0.0
P110,-25.4529800105228,-49.2335751666236,0.0
P111,-25.4529720651001,-49.2335960946217,0.0
P112,-25.4529645754660,-49.2336166381057,0.0
P113,-25.4529563357604,-49.2336378687033,0.0
P114,-25.4529483951134,-49.2336591943688,0.0
P115,-25.4529407253585,-49.2336790245338,0.0
P116,-25.4529327368227,-49.2337001221898,0.0
P117,-25.4529252991774,-49.2337204859172,0.0
P118,-25.4529172166647,-49.2337412766875,0.0
P119,-25.4529096062642,-49.2337622892670,0.0
P120,-25.4529018700265,-49.2337825976838,0.0
P121,-25.4528940307343,-49.2338033451216,0.0
P122,-25.4528860232899,-49.2338243734326,0.0
P123,-25.4528779872087,-49.2338452728919,0.0
